activity_id,activity_name,user_id,exp_id,window_id,n_nodes,n_edges,mean_degree,sd_degree,max_degree,degree_exp,density,clustering,mean_path,diameter,mean_betw,max_betw,mean_close,degree_entropy,modularity,sw_index
7,stand-to-sit,1,1,1,768,4521,11.7734375,11.24995020270016,101,1.377014460226941,0.01534998370273794,0.7231607900933688,4.143555111907866,9,0.004103857848443698,0.5101154519987015,0.24735966654120703,4.68877929767731,0.8066722079141009,30.63400457645985
8,sit-to-stand,1,1,1,768,4521,11.7734375,11.24995020270016,101,1.377014460226941,0.01534998370273794,0.7231607900933688,4.143555111907866,9,0.004103857848443698,0.5101154519987015,0.24735966654120703,4.68877929767731,0.8066722079141009,30.63400457645985
11,stand-to-lie,1,1,1,768,4521,11.7734375,11.24995020270016,101,1.377014460226941,0.01534998370273794,0.7231607900933688,4.143555111907866,9,0.004103857848443698,0.5101154519987015,0.24735966654120703,4.68877929767731,0.8054583293153663,30.63400457645985
11,stand-to-lie,1,1,2,512,2138,8.3515625,7.7601923067643614,97,1.4195513885469566,0.016343566536203523,0.7528149179480094,3.7644477739726026,8,0.005420485831318824,0.5384947250235061,0.27228966176858527,4.042855049363266,0.7932553263543296,35.96423974184365
11,stand-to-lie,1,1,3,128,528,8.25,5.976331268685737,46,1.414082130013563,0.06496062992125984,0.753932188211019,3.138779527559055,7,0.01697444069491314,0.6125952310939244,0.32870823878392047,3.8612190663545807,0.6733438791322314,8.501947368460222
11,stand-to-lie,1,1,4,128,558,8.71875,5.375560765474341,41,1.3996904028909347,0.06865157480314961,0.7518607963293951,3.5551181102362204,7,0.020278715160604917,0.5415500882892152,0.2873161162810559,3.9388853669188184,0.7165873382921596,6.902446563810128
11,stand-to-lie,1,1,5,128,766,11.96875,9.525711166540084,45,1.368173700671322,0.09424212598425197,0.7160748583411535,3.206200787401575,8,0.017509530058742655,0.4249830658843495,0.32687594398327935,4.5137226939378285,0.4827781905937051,4.6322504080348414
10,lie-to-sit,1,1,1,768,4521,11.7734375,11.24995020270016,101,1.377014460226941,0.01534998370273794,0.7231607900933688,4.143555111907866,9,0.004103857848443698,0.5101154519987015,0.24735966654120703,4.68877929767731,0.8066722079141009,30.63400457645985
10,lie-to-sit,1,1,2,512,2138,8.3515625,7.7601923067643614,97,1.4195513885469566,0.016343566536203523,0.7528149179480094,3.7644477739726026,8,0.005420485831318824,0.5384947250235061,0.27228966176858527,4.042855049363266,0.8005981784467618,35.96423974184365
9,sit-to-lie,1,1,1,768,4521,11.7734375,11.24995020270016,101,1.377014460226941,0.01534998370273794,0.7231607900933688,4.143555111907866,9,0.004103857848443698,0.5101154519987015,0.24735966654120703,4.68877929767731,0.8066722079141009,30.63400457645985
