exp_id,user_id,activity_id,activity_name,window_id,acc_mean,acc_sd,acc_median,acc_iqr,acc_max,acc_min,acc_rms,acc_entropy,acc_zcr,gyro_mean,gyro_sd,gyro_rms,gyro_entropy,gyro_zcr
1,1,7,stand-to-sit,1,0.2318779754053688,0.1076330804064639,0.2131976089313516,0.13302580715801263,0.5719030114111612,0.07162028899781119,0.25546383031829467,2.9033136352857998,0.0859375,0.45714234097658696,0.1828475687996458,0.4920885653959389,2.8590175387258174,0.171875
1,1,8,sit-to-stand,1,0.2753491619156681,0.09312235180208983,0.2714233620878894,0.12871298262658898,0.526121180393933,0.06598446020786325,0.2905532397873026,2.8817638027583765,0.0859375,0.45677631779871813,0.3328344378591552,0.564409344749573,2.3532701215714598,0.09375
1,1,9,sit-to-lie,1,0.20057518983788047,0.1283100345339842,0.1582876286187938,0.21840364787755007,0.5323726543981296,0.01946982054357826,0.23783450321725297,3.0277731712392995,0.0703125,0.49744753837898437,0.3619505071770134,0.6143604168235869,2.5065465929815534,0.125
1,1,9,sit-to-lie,2,0.12417689803636715,0.05805765702213757,0.11771516382659264,0.07504755688240916,0.39352182026759586,0.01946982054357826,0.13698269970031554,2.0897067051309723,0.3828125,0.38696673731969916,0.35744896578477237,0.5258467625249018,2.194017539115385,0.1796875
1,1,10,lie-to-sit,1,0.17935455993104601,0.09978102827617823,0.16909938471491318,0.1045727439393292,0.48125941771408465,0.021958759686121383,0.2050525019126335,2.8504850675932234,0.15625,0.34813724286373887,0.2067348303518743,0.40448106166497994,2.6543473642222715,0.1328125
1,1,10,lie-to-sit,2,0.13598229432348147,0.05208156423285257,0.13899733014406207,0.07214148896827585,0.25522371801946986,0.021958759686121383,0.14554202959799994,3.348134239379225,0.203125,0.4452702625950482,0.24964057552635022,0.5099991621985035,3.1010544724770375,0.15625
1,1,11,stand-to-lie,1,0.22103206948053777,0.14800807692697848,0.1745276454784208,0.1604280107189603,0.7556673667373887,0.04318735161208439,0.265688582547441,2.3067978153561377,0.1328125,0.5590817209758019,0.41331525509576195,0.6943106403870302,2.727629900605885,0.1640625
1,1,11,stand-to-lie,2,0.14140565687540244,0.0663037809245154,0.13282906610000228,0.07841520392770451,0.3148044524806246,0.02400559126055879,0.15606859362540565,2.4622304819356833,0.25,0.4100058510298327,0.29941166537683894,0.5070027350584763,2.2415994013792053,0.1953125
1,1,11,stand-to-lie,3,0.1310580761101124,0.06460826333041905,0.11790173665123645,0.08509739877465035,0.3148044524806246,0.02400559126055879,0.14600628702362162,2.3816400886663627,0.234375,0.3745973200353281,0.2190714337695362,0.4335210554075715,2.9620703000599704,0.203125
1,1,11,stand-to-lie,4,0.11008572976541058,0.06375149844755636,0.09234443164958576,0.07287270817782178,0.3148044524806246,0.017499593313017047,0.1270880382703217,2.2054913687346946,0.1640625,0.3196369444586049,0.23218696919235463,0.3945343925301534,2.902158729323975,0.1484375
